prop_equal,clause_factor,repetitiveness,sat,algorithm,treewidth,num_variables,prop_deterministic,answer,instance,time,literal_factor
0.72,2.2,0,,cachet,37,70,0,1.24145e-09,70-2.2-3-0-0-0.72-6,10.81,3
0.93,2.2,0,,minic2d,38,70,0,0.0,70-2.2-3-0-0-0.93-6,34.81,3
0.17,2.2,0,,dpmc,38,70,0,2.49863e-11,70-2.2-3-0-0-0.17-23,295.95,3
0.86,2.2,0,,d4,35,70,0,,70-2.2-3-0-0-0.86-80,235.18,3
0.1,2.2,0,,dpmc,34,70,0,3.75313e-11,70-2.2-3-0-0-0.1-32,218.19,3
0.5,2.2,0,,minic2d,35,70,0,0.0,70-2.2-3-0-0-0.5-77,18.19,3
0.14,2.2,0,,minic2d,38,70,0,0.0,70-2.2-3-0-0-0.14-9,28.07,3
0.03,2.2,0,,d4,35,70,0,,70-2.2-3-0-0-0.03-28,341.95,3
0.22,2.2,0,,d4,35,70,0,3.837383e-11,70-2.2-3-0-0-0.22-61,46.36,3
0.69,2.2,0,,minic2d,36,70,0,0.0,70-2.2-3-0-0-0.69-60,10.41,3
0.45,2.2,0,,dpmc,36,70,0,5.69005e-10,70-2.2-3-0-0-0.45-48,221.3,3
0.25,2.2,0,,cachet,37,70,0,1.97978e-09,70-2.2-3-0-0-0.25-95,15.09,3
0.36,2.2,0,,minic2d,33,70,0,0.0,70-2.2-3-0-0-0.36-71,4.18,3
0.02,2.2,0,,minic2d,36,70,0,0.0,70-2.2-3-0-0-0.02-90,31.34,3
0.1,2.2,0,,c2d,35,70,0,1.233508e-10,70-2.2-3-0-0-0.1-48,86.51,3
0.04,2.2,0,,cachet,37,70,0,4.53473e-11,70-2.2-3-0-0-0.04-69,6.2,3
0.86,2.2,0,,c2d,35,70,0,7.442035e-11,70-2.2-3-0-0-0.86-86,31.91,3
0.63,2.2,0,,c2d,37,70,0,9.452652e-09,70-2.2-3-0-0-0.63-13,109.45,3
0.2,2.2,0,,c2d,36,70,0,2.872561e-13,70-2.2-3-0-0-0.2-44,56.26,3
0.39,2.2,0,,cachet,34,70,0,3.47538e-12,70-2.2-3-0-0-0.39-93,1.9,3
0.43,2.2,0,,dpmc,35,70,0,6.07589e-11,70-2.2-3-0-0-0.43-50,208.49,3
0.96,2.2,0,,dpmc,33,70,0,8.7255e-10,70-2.2-3-0-0-0.96-15,64.05,3
0.23,2.2,0,,minic2d,37,70,0,0.0,70-2.2-3-0-0-0.23-40,44.58,3
0.68,2.2,0,,dpmc,39,70,0,,70-2.2-3-0-0-0.68-28,500.72,3
0.26,2.2,0,,cachet,35,70,0,9.25179e-11,70-2.2-3-0-0-0.26-89,7.56,3
0.5,2.2,0,,minic2d,35,70,0,0.0,70-2.2-3-0-0-0.5-34,30.94,3
0.96,2.2,0,,d4,37,70,0,,70-2.2-3-0-0-0.96-69,455.26,3
0.34,2.2,0,,dpmc,37,70,0,2.83172e-09,70-2.2-3-0-0-0.34-37,178.84,3
0.06,2.2,0,,c2d,36,70,0,7.13356e-10,70-2.2-3-0-0-0.06-100,83.8,3
0.82,2.2,0,,minic2d,34,70,0,0.0,70-2.2-3-0-0-0.82-2,8.78,3
0.62,2.2,0,,d4,34,70,0,4.815795e-11,70-2.2-3-0-0-0.62-13,19.83,3
0.04,2.2,0,,d4,35,70,0,1.59784e-10,70-2.2-3-0-0-0.04-28,131.87,3
0.48,2.2,0,,minic2d,35,70,0,0.0,70-2.2-3-0-0-0.48-58,59.21,3
0.47,2.2,0,,minic2d,36,70,0,0.0,70-2.2-3-0-0-0.47-69,16.48,3
0.47,2.2,0,,minic2d,35,70,0,0.0,70-2.2-3-0-0-0.47-75,21.76,3
0.43,2.2,0,,c2d,33,70,0,1.861577e-10,70-2.2-3-0-0-0.43-46,40.49,3
0.35,2.2,0,,dpmc,38,70,0,,70-2.2-3-0-0-0.35-54,500.52,3
0.91,2.2,0,,minic2d,39,70,0,0.0,70-2.2-3-0-0-0.91-34,34.02,3
0.14,2.2,0,,d4,34,70,0,1.856375e-12,70-2.2-3-0-0-0.14-44,127.03,3
0.32,2.2,0,,minic2d,35,70,0,0.0,70-2.2-3-0-0-0.32-28,11.86,3
0.07,2.2,0,,dpmc,36,70,0,,70-2.2-3-0-0-0.07-19,500.66,3
0.81,2.2,0,,c2d,36,70,0,4.755004e-10,70-2.2-3-0-0-0.81-12,52.25,3
0.79,2.2,0,,dpmc,35,70,0,9.1033e-09,70-2.2-3-0-0-0.79-59,235.82,3
0.39,2.2,0,,cachet,38,70,0,2.6983e-11,70-2.2-3-0-0-0.39-92,4.43,3
0.49,2.2,0,,cachet,38,70,0,1.32438e-11,70-2.2-3-0-0-0.49-61,6.6,3
0.89,2.2,0,,cachet,35,70,0,1.00466e-10,70-2.2-3-0-0-0.89-33,2.39,3
0.31,2.2,0,,c2d,36,70,0,1.25489e-10,70-2.2-3-0-0-0.31-55,40.56,3
0.48,2.2,0,,dpmc,35,70,0,4.38712e-10,70-2.2-3-0-0-0.48-1,146.57,3
0.3,2.2,0,,dpmc,33,70,0,9.88501e-11,70-2.2-3-0-0-0.3-49,128.38,3
0.82,2.2,0,,cachet,35,70,0,1.14066e-09,70-2.2-3-0-0-0.82-61,4.68,3
0.49,2.2,0,,minic2d,36,70,0,0.0,70-2.2-3-0-0-0.49-32,22.63,3
0.18,2.2,0,,cachet,36,70,0,1.52398e-11,70-2.2-3-0-0-0.18-86,14.51,3
0.58,2.2,0,,minic2d,37,70,0,0.0,70-2.2-3-0-0-0.58-54,36.59,3
