repetitiveness,sat,prop_equal,prop_deterministic,treewidth,literal_factor,clause_factor,instance
0.9,0,0,0,1,1,0.625,100-0.625-1-0.9-0-0-4
0.56,1,0,0,66,4,3.5355339059327378,100-3.5355339059327378-4-0.56-0-0-3
0.78,1,0,0,22,3,2.5,100-2.5-3-0.78-0-0-10
0.63,0,0,0,4,2,1.7677669529663689,100-1.7677669529663689-2-0.63-0-0-2
0.27,0,0,0,39,2,5.0,100-5.0-2-0.27-0-0-3
0.34,0,0,0,84,3,14.142135623730951,100-14.142135623730951-3-0.34-0-0-5
0.61,1,0,0,37,3,2.5,100-2.5-3-0.61-0-0-6
0.28,1,0,0,90,4,10.0,100-10.0-4-0.28-0-0-8
0.72,1,0,0,17,4,0.8838834764831844,100-0.8838834764831844-4-0.72-0-0-9
0.77,1,0,0,65,5,2.5,100-2.5-5-0.77-0-0-6
0.95,1,0,0,54,5,3.5355339059327378,100-3.5355339059327378-5-0.95-0-0-2
0.81,1,0,0,66,4,5.0,100-5.0-4-0.81-0-0-7
0.64,1,0,0,94,5,14.142135623730951,100-14.142135623730951-5-0.64-0-0-7
0.29,1,0,0,46,5,0.8838834764831844,100-0.8838834764831844-5-0.29-0-0-9
0.88,0,0,0,2,2,1.7677669529663689,100-1.7677669529663689-2-0.88-0-0-8
0.31,0,0,0,65,3,5.0,100-5.0-3-0.31-0-0-2
0.13,0,0,0,1,1,7.0710678118654755,100-7.0710678118654755-1-0.13-0-0-8
0.64,1,0,0,7,4,0.4419417382415922,100-0.4419417382415922-4-0.64-0-0-6
0.43,0,0,0,77,3,10.0,100-10.0-3-0.43-0-0-9
0.72,1,0,0,93,5,14.142135623730951,100-14.142135623730951-5-0.72-0-0-10
0.43,1,0,0,22,5,0.4419417382415922,100-0.4419417382415922-5-0.43-0-0-7
0.56,0,0,0,76,3,10.0,100-10.0-3-0.56-0-0-10
0.17,1,0,0,58,3,3.5355339059327378,100-3.5355339059327378-3-0.17-0-0-2
0.65,0,0,0,1,1,1.25,100-1.25-1-0.65-0-0-3
0.22,0,0,0,1,1,0.8838834764831844,100-0.8838834764831844-1-0.22-0-0-10
0.71,1,0,0,32,3,2.5,100-2.5-3-0.71-0-0-7
0.32,1,0,0,30,4,0.8838834764831844,100-0.8838834764831844-4-0.32-0-0-5
0.05,0,0,0,78,3,7.0710678118654755,100-7.0710678118654755-3-0.05-0-0-5
0.09,1,0,0,84,4,5.0,100-5.0-4-0.09-0-0-5
0.3,0,0,0,65,3,5.0,100-5.0-3-0.3-0-0-10
0.11,0,0,0,1,1,0.625,100-0.625-1-0.11-0-0-7
0.16,1,0,0,40,3,1.7677669529663689,100-1.7677669529663689-3-0.16-0-0-7
0.92,1,0,0,31,4,2.5,100-2.5-4-0.92-0-0-1
0.19,1,0,0,11,4,0.4419417382415922,100-0.4419417382415922-4-0.19-0-0-1
0.27,1,0,0,14,4,0.4419417382415922,100-0.4419417382415922-4-0.27-0-0-3
0.62,0,0,0,1,1,5.0,100-5.0-1-0.62-0-0-6
0.76,0,0,0,1,1,2.5,100-2.5-1-0.76-0-0-5
0.79,0,0,0,1,1,0.8838834764831844,100-0.8838834764831844-1-0.79-0-0-9
