instance,exact,approximate
70-2.2-3-0.24-0-0-61,30,31
70-4.0-3-0.22-0-0-70,42,45
70-4.0-3-0.32-0-0-40,41,42
70-3.1-3-0.12-0-0-51,38,39
70-1.0-3-0.34-0-0-62,13,15
70-1.3-3-0.44-0-0-80,15,15
70-1.3-3-0.15-0-0-60,23,25
70-1.0-3-0.5-0-0-42,11,11
70-1.6-3-0.2-0-0-50,25,27
70-1.0-3-0.41-0-0-64,10,10
70-2.2-3-0.36-0-0-10,30,33
70-1.3-3-0.25-0-0-1,20,20
70-2.2-3-0.44-0-0-40,25,28
70-1.3-3-0.43-0-0-61,18,19
70-1.3-3-0.46-0-0-100,14,15
70-1.3-3-0.45-0-0-1,16,18
70-2.2-3-0.25-0-0-30,31,34
70-2.2-3-0.4-0-0-41,26,27
70-1.3-3-0.03-0-0-42,22,22
70-1.3-3-0.05-0-0-40,23,25
70-1.6-3-0.11-0-0-21,26,29
70-4.0-3-0.31-0-0-11,41,42
70-2.2-3-0.22-0-0-42,29,32
70-4.0-3-0.03-0-0-80,46,48
70-1.0-3-0.38-0-0-60,10,11
70-2.2-3-0.0-0-0-62,36,38
70-4.3-3-0.31-0-0-150,42,43
70-1.6-3-0.3-0-0-20,23,25
70-1.6-3-0.02-0-0-41,25,27
70-1.3-3-0.16-0-0-30,21,22
70-3.1-3-0.23-0-0-31,38,40
70-4.0-3-0.42-0-0-10,40,43
70-1.0-3-0.15-0-0-91,16,17
70-3.1-3-0.25-0-0-10,38,40
70-1.3-3-0.11-0-0-33,22,24
70-4.0-3-0.42-0-0-51,41,43
70-2.2-3-0.3-0-0-90,30,30
70-3.1-3-0.33-0-0-31,37,40
70-4.0-3-0.24-0-0-30,44,45
70-3.1-3-0.21-0-0-71,38,40
70-4.3-3-0.0-0-0-50,46,49
70-1.6-3-0.21-0-0-21,27,30
70-3.1-3-0.44-0-0-10,33,36
70-4.0-3-0.34-0-0-120,39,41
70-3.1-3-0.31-0-0-71,36,39
70-1.3-3-0.22-0-0-22,19,21
