literal_factor,algorithm,clause_factor,prop_equal,treewidth,prop_deterministic,num_variables,answer,instance,time,sat,repetitiveness
3,cachet,2.2,0,36,0.39,70,0,70-2.2-3-0-0.39-0-87,4.87,,0
3,dpmc,2.2,0,35,0.99,70,0,70-2.2-3-0-0.99-0-79,0.04,,0
3,cachet,2.2,0,35,0.35,70,0,70-2.2-3-0-0.35-0-7,7.71,,0
3,c2d,2.2,0,35,0.84,70,0.0,70-2.2-3-0-0.84-0-23,21.25,,0
3,d4,2.2,0,37,0.42,70,,70-2.2-3-0-0.42-0-83,302.91,,0
3,d4,2.2,0,35,0.0,70,1.20219e-09,70-2.2-3-0-0.0-0-15,54.84,,0
3,c2d,2.2,0,36,0.0,70,,70-2.2-3-0-0.0-0-46,90.34,,0
3,cachet,2.2,0,33,0.49,70,0,70-2.2-3-0-0.49-0-70,3.92,,0
3,dpmc,2.2,0,35,0.71,70,0,70-2.2-3-0-0.71-0-80,0.07,,0
3,c2d,2.2,0,35,0.4,70,,70-2.2-3-0-0.4-0-85,107.25999999999999,,0
3,c2d,2.2,0,35,0.36,70,0.0,70-2.2-3-0-0.36-0-81,13.54,,0
3,d4,2.2,0,34,0.57,70,0.0,70-2.2-3-0-0.57-0-18,89.15,,0
3,minic2d,2.2,0,36,0.7,70,0.0,70-2.2-3-0-0.7-0-73,3.6,,0
3,minic2d,2.2,0,36,0.39,70,0.0,70-2.2-3-0-0.39-0-9,7.55,,0
3,dpmc,2.2,0,35,0.99,70,0,70-2.2-3-0-0.99-0-9,0.04,,0
3,d4,2.2,0,36,0.7,70,0.0,70-2.2-3-0-0.7-0-69,119.83,,0
3,d4,2.2,0,34,0.03,70,9.02035e-12,70-2.2-3-0-0.03-0-44,65.53,,0
3,d4,2.2,0,36,0.54,70,0.0,70-2.2-3-0-0.54-0-47,67.72,,0
3,dpmc,2.2,0,37,0.43,70,0,70-2.2-3-0-0.43-0-93,0.22,,0
3,dpmc,2.2,0,38,0.86,70,0,70-2.2-3-0-0.86-0-78,0.13,,0
3,cachet,2.2,0,37,0.79,70,0,70-2.2-3-0-0.79-0-30,12.23,,0
3,cachet,2.2,0,34,0.39,70,0,70-2.2-3-0-0.39-0-80,1.4,,0
3,dpmc,2.2,0,38,0.12,70,3.33167e-12,70-2.2-3-0-0.12-0-33,39.51,,0
3,dpmc,2.2,0,35,0.76,70,0,70-2.2-3-0-0.76-0-9,0.07,,0
3,d4,2.2,0,37,0.86,70,0.0,70-2.2-3-0-0.86-0-80,123.32,,0
3,d4,2.2,0,36,0.86,70,0.0,70-2.2-3-0-0.86-0-47,73.92,,0
3,d4,2.2,0,39,0.55,70,,70-2.2-3-0-0.55-0-55,267.77,,0
3,c2d,2.2,0,36,0.71,70,0.0,70-2.2-3-0-0.71-0-20,32.42,,0
3,dpmc,2.2,0,39,1.0,70,0,70-2.2-3-0-1.0-0-95,0.06,1,0
3,d4,2.2,0,35,0.01,70,1.486597e-11,70-2.2-3-0-0.01-0-44,162.54,,0
3,dpmc,2.2,0,36,0.89,70,0,70-2.2-3-0-0.89-0-21,0.11,,0
3,c2d,2.2,0,34,0.42,70,0.0,70-2.2-3-0-0.42-0-38,9.57,,0
3,minic2d,2.2,0,34,0.31,70,0.0,70-2.2-3-0-0.31-0-9,18.1,,0
3,d4,2.2,0,36,0.26,70,,70-2.2-3-0-0.26-0-6,539.88,,0
3,dpmc,2.2,0,34,0.47,70,0,70-2.2-3-0-0.47-0-91,0.1,,0
3,dpmc,2.2,0,38,0.25,70,0,70-2.2-3-0-0.25-0-66,24.67,,0
3,dpmc,2.2,0,36,0.73,70,0,70-2.2-3-0-0.73-0-10,0.13,,0
